,Title,Year,Plot,Rating,Budget,Cast,MPA Rating,Directors,Distributors,Producers,Genre,Runtime in Minutes
802,11. We Live in Time,2024,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test. Almut (Florence Pugh) and Tobias (Andrew Garfield) are brought together in a surprise encounter that changes their lives. Through snapshots of their life together -- falling for each other, building a home, becoming a family -- a difficult truth is revealed that rocks its foundation. As they embark on a path challenged by the limits of time, they learn to cherish each moment of the unconventional route their love story has taken, in filmmaker John Crowley's decade-spanning, deeply moving romance.—A24",7.0,N/A,"Andrew Garfield,Florence Pugh,Grace Delaney,Lee Braithwaite,Aoife Hinds,Adam James,Douglas Hodge,Amy Morgan,Niamh Cusack,Lucy Briers,Robert Boulter,Nikhil Parmar,Kerry Godliman,Heather Craney,Matt Kennard,Sam Kennard,Saroja-Lily Ratnavel,Laura Guest,Marama Corlett,Sue Wallace,Megan Haly,Eliot Salt,Kevin Brewer,Fumilayo Brown-Olateju,Roly Botha,Grace Molony,Ann Ogbomo,Andre Antonio,Saira Choudhry,João Soares Dos Reis,Wassiq J. Ahmed,Gianni Calchetti,Ingo Dierkschnieder,Robert Eames,Abderrahman Echchahed,Roe Haven,Drew Jones,Csaba Kardos,Angela Myftari,Nick Owenford,Rafael Piamolini,Kemal Shah,Karen Smyth",R,John Crowley,"A24,StudioCanal,StudioCanal UK,GSC Movies (GSCM),Adastra Cinema,Beta Fiction Spain,Imagem Filmes,Imagem Films,Imagem Films,Pioneer Films,Shaw Organisation,Spentzos Films,Sphere Films,StudioCanal Germany,StudioCanal,Volga,Arthaus,Arthaus,Bad Unicorn,Beta Fiction Spain,EFAR Films Distribution,NOS Audiovisuais,Noori Pictures","StudioCanal,Film4,SunnyMarch,Shoebox Films,Canal+,Ciné+","Drama,Romance",108
803,12. The Rule of Jenny Pen,2024,"Confined to a secluded rest home and trapped within his stroke-ridden body, a former Judge must stop an elderly psychopath who employs a child's puppet to abuse the home's residents with deadly consequences.",6.3,N/A,"Geoffrey Rush,Nikki MacDonnell,Maaka Pohatu,George Henare,Fiona Collins,Yvette Parsons,Ian Mune,John Lithgow,Richard Chapman,Bruce Phillips,Irene Wood,Annie Ruth,Nick Blake,Nathaniel Lees,Ariadne Baltazar,Hilary Norris,Holly Shanahan,Lutz Halbhubner,Ginette McDonald,Jane Waddell,Catie Noble,Anapela Polataivao,Thomas Sainsbury,Hannah Lynch,Semu Filipo,Paolo Rotondo,Pilapitiya Rashmi,Sylvie Ashcroft,Marbles,Mary Andrews,Rangi Andrews,Doreen Beer,Trevor Beer,Margaret Blake,Adrienne Gordon,Wendy Green,Winston Gurnell,Lynn Harriman,Vivienne Hutchison,Barbara Iles,Peter Judge,Janice Kosterman,Daphne Lecouteur,Christine Lester,Stephen Lester,Isobel McAlpine,Judi McGreevy,Kevin McPake,Jean Mills,Connie Mitchell,Faye Moore,Robin Moore,Adrienne Nairn,Tin Norman,Karl Periera,Lorraine Philbey,Steve Punter,Sarah Simmonds,Audrey Swann,Deborah Taylor,John Wakelin,Pearl Wakelin,Michael Ward,Wayne Wilson,Vee Hodgson,Melissa Isaacson,Lormar Karauti,Huirangi Law,Anna Lopez,Charlotte Mann,Dervla Murtagh,Jessica Ruck-Nu'u,Lindsey Seaton,Lian Song,Bayley Rakei,David Lewai,Jed Walker,Kane Mason,Oscar McDougall,Riley Williams,Romeo McIlvride,Sasha Parize-Baker,Tomas Green Camargo,Tawhiri Wanoa,Zach Harrison,Celia Griffiths,Hijiri Yamamoto,Jack Moyer,Taliesin Amoore,Harper Ashcroft,India Ashcroft,Nina Williams,Stella Williams,Mandy Thomas,Kurt Johnson,Lovely Gomonit,Jacqueline Later,Ryshon Te Fono,Orlando Stewart,Natasha Kenyon,Raz Yusoff,Wendy Griffiths,Fergus Aitken,Sue Bridgen,Brendon Hannah,Chris Hewer,Helena Sharples,Jason Noble,Peter Hewitt,Tim Foley,Wayne Carter,Max Makheri,Mini Samuels,Elizabeth Marshall,Samantha Chilman,Jo Carter,Yvette Cottam,Susan Holt,Jayasudhasri Jaiganesh,Jacqueline Jones,Helena Mahn,Leanne Turrell,Jack Carter,Sam Carter,David Dahya,Tony Hopkins,Ben Johnson-Frow,Owen Jones,Robert Thynne,Michael Waris,Callum Scott",R,James Ashcroft,"Atmosfera Kino,Galaxy Pictures,Galaxy Pictures,IFC Films,Front Row Filmed Entertainment,ND Pictures,ND Pictures,Shadowz,Vendetta Filmes","Light in the Dark Productions,Welcome FD","Horror,Mystery,Thriller",104
804,13. Terrifier 3,2024,"Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve. Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",6.3,"$2,000,000 (estimated)","Lauren LaVera,David Howard Thornton,Antonella Rose,Elliott Fullam,Samantha Scaffidi,Margaret Anne Florence,Bryce Johnson,Alexa Blair Robertson,Mason Mecartea,Krsy Fox,Luciana VanDette,Clint Howard,Bradley Stryker,Daniel Roebuck,Chris Jericho,Tom Savini,Jason Patric,Alex Ross,Kailey Hyman,Kellen Raffaelo,Lisa Marie Falcone,Stephen Cofield Jr.,Corrine Kelly,Joe Falcone,Peter Mitchell,Marie Maser,Jon Abrahams,Michael Genet,Luciana Elisa Quinonez,Michel Vidal,Juliana Lamia,Sienna Hubert-Ross,Charlotte McKee,Chip Carriere,Andrew Hollinger,Robert Catalano,Lauren Sowa,Banks Quinney,Evelyn Lee,Israel Acevedo,Samantha Schwartz,Nariyah Simpson,Jennifer C. Johnson,Katie Curri,Preston Christopher Lawrence,Tom White,Ryan Usui,Annie Lederman,Ilia Krisulas,Michael Loverde,Dominick Muschello,Beethovan Oden,John Sanders,Phil Falcone,Jen Ayer Drake,Corinne Kelly,Peter Gray Lewis,Christian Stavrakis",Not,Damien Leone,"Cineverse Entertainment,Iconic Events Releasing,Another World Entertainment,Cinema Mondo,Diamond Films,Diamond Films,Diamond Films,ESC Distribution,Golem Films,Green Light Films,Gusto entertainment,Sabay MVP,Signature Entertainment,Signature Entertainment,The Film Group,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,Tiberius Film,Umbrella Entertainment,Venus Films,Vertigo Distribution s.r.o.,Vertigo International s.r.o.,Vertigo Média Kft.,World Pictures,NOS Audiovisuais,Nameless Media,NonStop Entertainment,OKKO,PFLUG Co.,Ltd,Plaion Pictures,Première TV Distribution,Selecta Visión,Signature Entertainment,Signature Entertainment,Signature Entertainment,Signature Entertainment,Signature Entertainment,Signature Entertainment,Superfine Films,The Plot Pictures,Tiberius Film,Tiberius Film,Tiberius Film","Dark Age Cinema,Bloody Disgusting,Fuzz on the Lens Productions,The Coven",Horror,125
805,14. Wolfs,2024,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job. A professional fixer is hired to cover up a high-profile crime. But when a second fixer shows up and the two ""lone wolves"" are forced to work together, they find their night spiraling out of control in ways that neither one of them expected. Let's face it: Margaret is neck-deep in trouble. After all, having a wild night of debauchery at a luxury hotel penthouse is never a good idea when you are a respected Manhattan district attorney. Now panicked and trapped in a messy situation, the prominent New York official has no choice but to contact her lethally efficient go-to fixer to clean the whole thing up as if it never happened. But there is no such thing as a foolproof plan, especially when it involves bloody crime scenes. As a rival problem-solver enters the equation determined to protect the interests of his shady boss, two underworld troubleshooters double-booked on the same job must do the unthinkable. However, there is not enough room in this city for two professional fixers--only one will take the biscuit.—Nick Riganas In New York City, the District Attorney Margaret has one night stand with a young man at an expensive penthouse at a luxury hotel. Out of the blue, the guy jumps on the bed, falls off on a glass table and dies. She calls a man that was recommended to her in case of needing to fix a situation. The man arrives at the hotel room and prepares to remove the corpse to get rid of it. Out of the blue, another man arrives at the penthouse summoned by the hotel owner Pam to clean the room, and he shows a hidden camera in the room. They have an argument about their responsibilities and send Margaret away. While cleaning the room, Pam's man finds a backpack full of drugs and Pam orders them to return the drugs to the owner. When they put the body of the kid in the trunk of the car of Margaret's man, they find that he is alive but almost dead due to an OD. They bring him to Chinatown where a woman named June revives him, since they need to know who the owner of the drugs is. However, their night full of surprises is just beginning.—Claudio Carvalho, Rio de Janeiro, Brazil",6.5,N/A,"Amy Ryan,Austin Abrams,George Clooney,Brad Pitt,Donut McGunigle,Sergio Cota Jr.,Poorna Jagannathan,Alfred Chou,Robert Timothy Smith,Amanda Aday,Kymbali Craig,Linda Carola,Zlatko Buric,Vladimir Sizov,Abby Mohaddes,Sasha Biktagir,Sammy Horowitz,Frank Trigg,Duffy Gaver,Edwin Taylor,Panuvat Anthony Nanakornpanom,Richard Kind,Irina Dubova,Frances McDormand,Wael Alroyly,Halasius Bradford,Michael Dukakis,Rob Riddell,Hassani Rizzo,David Sargsyan,Nandi Sharma",R,Jon Watts,"Apple TV+,Apple TV+","Apple Studios,Freshman Year,Plan B Entertainment,Smokehouse Pictures","Crime,Thriller",108
806,15. The Last Showgirl,2024,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.,6.5,"$1,800,000 (estimated)","Pamela Anderson,Brenda Song,Kiernan Shipka,Dave Bautista,Jamie Lee Curtis,Billie Lourd,Linda Montana,John Clofine,Giovani L. DiCandilo,Gypsy Wood,Symone Bradley,Melina Blitz,Eliseo Duque,Jason Schwartzman,Anlly Allen Aguilera,Max Francisco,Alexandria Franklin,Stevie Heptig,Sarah Johnston,Charlotte O'Dowd,Becs O'Hara,Natalia Oliveira,Ferly Prado,Lauren Slouffman,Amber Snow,Sammy Soto,David Avne,Sean Patrick Bryan,Patrick Hilgart,Jesse Phillips",R,Gia Coppola,"Roadside Attractions,Be Water Film,Capella Film,Constantin Film Verleih,Feelgood Entertainment,Filmcoopi Zürich,Gutek Film,Madman Entertainment,Madman Films,Picturehouse Entertainment,Sony Pictures Releasing International,Sony Pictures Releasing,Vértigo Films,Amazon Prime Video,Apple TV+,Front Row Filmed Entertainment,Hulu,Sony Pictures Worldwide Acquisitions (SPWA),Stage 6 Films","Utopia,Digital Ignition Entertainment,High Frequency Entertainment,Pinky Promise",Drama,88
807,16. Rebel Ridge,2024,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief. An ex Marine on his way to bail out his cousin from jail finds himself pushed against the wall by a high handed and corrupt chief of police. He then has no option but to confront the cop and despite strong resistance he fights his way out to complete his mission.—Madan Marwah,6.8,"$28,900,000 (estimated)","Aaron Pierre,David Denman,Emory Cohen,Oscar Gale,AnnaSophia Robb,Reid Williams,Steve Zissis,Daniel H. Chung,Dana Lee,Zsane Jhe,Don Johnson,C.J. LeBlanc,Matthew Rimmer,Brannon Cross,Victor Eli Hugo,James Cromwell,Chelsea Bryan,Al Vicente,Terence Rosemore,Leslie Nipkow,Rhonda Johnson Dents,Charlie Talbert,Harlon Miller,Clayton Cooper,Caleb J. Thaggard,Jordan Thoma,Angela Griffitt,Elijah Evans,Claire Fontana,Bobby George,Lisa Mattheis,Robby Mitz",TV-MA,Jeremy Saulnier,Netflix,"Bonneville Pictures,Film Science","Action,Crime,Drama,Thriller",131
808,17. Joker: Folie à Deux,2024,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital. Arthur Fleck, now incarcerated at Arkham State Hospital, who encounters Harleen Quinzel, a fellow patient who becomes dangerously obsessed with his Joker persona. Their shared psychosis fuels a destructive and increasingly chaotic relationship, blurring the lines between reality and fantasy. The film delves deeper into Arthur's mental state, exploring the complexities of his condition and the enduring power of his iconic villainous persona.—Adrian Serpa Left to rot in Arkham State Hospital after the televised murder in Joker (2019), an emaciated Arthur Fleck now awaits trial for his crimes. Trapped in a cage and seething inside, Arthur grapples with his alter ego, seeking ways to vent his frustration and rage. And then, he sees her; Lee is not only a fellow inmate but also Arthur's true psychopathic soulmate. With music setting them free, sparks fly, and tomorrow doesn't look that bad. Who cares what people think? Does the world know what it means to be crazy in love with somebody?—Nick Riganas",5.2,"$190,000,000 (estimated)","Joaquin Phoenix,Lady Gaga,Brendan Gleeson,Catherine Keener,Zazie Beetz,Steve Coogan,Harry Lawtey,Leigh Gill,Ken Leung,Jacob Lofland,Bill Smitrovich,Sharon Washington,Alfred Rubin Thompson,Connor Storrie,Gregg Daniel,Mac Brandt,George Carroll,John Lacy,Tim Dillon,Wayne Dehart,Troy Fromin,Ajgie Kirkland,Terrance T.P. Polite,Jimmy Walker Jr.,Toney Wilson,June Carryl,Don McManus,G.L. McQueary,Angela D. Watson,Murphy Guyer,Carson Higgins,Gattlin Griffith,Hudson Oz,Ray Lykins,Will Ropp,Ashton Moio,Emilio Rojas,Joe Spinney,Richard Busser,Brian Donahue,Mike Houston,Jess King,Jimmy Smagula,Stephen Stanton,Martin Kildare,Laurie Dawn,Steven X. Greenfield,Dominique Williams-Blair,Barry Bonder,Kaylah Sharve' Baker,Ashley Levin,Celeste Butler,Alex Wesley Smith,Elizabeth Bedley,Casey Burke,Eduardo Fuenzalida,Adrianna Goffredo,Anthony Gullotta,Haley Handson,Greg Hoffman,Tom Johnson,Garrett Marshall,Theodore Martello,Franklin McCay,Eddy Mejia,Troy Metcalf,Michael Muñiz,Dane Alexander Peplinski,Alanna Phillips,Angelica Quinonez,Suki Úna Rae,Allegra Rosa,Joseph Scarpino,Byron Sleugh,Alyson Stover,Karen Teliha,Brad Trettien,Sam Wren Vincent",R,Todd Phillips,"Warner Bros.,Warner Bros. Pictures Mexico,Warner Bros. Pictures,Cinemundo,HKC Entertainment,TME Films,Tanweer Alliances,Warner Bros. F.E.,Warner Bros. Finland,Warner Bros. Pictures Germany,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Singapore,Warner Bros.,Warner Bros.,Amazon Prime Video,Apple TV+,Home Box Office (HBO),Max,SF Film Finland,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),Studio Distribution Services (SDS),Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment","Warner Bros.,Domain Entertainment (II),Bron Creative,Joint Effort,DC Entertainment,Quebec Film and Television Tax Credit","Drama,Musical,Thriller",138
809,18. The Room Next Door,2024,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation. Ingrid (Julianne Moore) and Martha (Tilda Swinton) were close friends in their youth, when they worked together at the same magazine. Ingrid went on to become an autofiction novelist while Martha became a war reporter, and they were separated by the circumstances of life. After years of being out of touch, they meet again in an extreme but strangely sweet situation.—Sony Pictures Classics",6.8,N/A,"Julianne Moore,Tilda Swinton,John Turturro,Alessandro Nivola,Juan Diego Botto,Raúl Arévalo,Victoria Luengo,Alex Høgh Andersen,Esther McGregor,Alvise Rigo,Melina Matthews,Sarah Demeestere,Anh Duong,Bobbi Salvör Menuez,Annika Wahlsten,Shane Woodward,Paolo Luka-Noé,Cristina Kovani,Nya Bowman,Dora Rowdon,Viktor Longo,Anton Antoniadis,Celia Rocha,Kyla Thomas,Toon de Melker,Ira Gamerman,Tom Johnson",PG-13,Pedro Almodóvar,"Cinéart,Pathé,Tanweer Alliances,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Singapore,Warner Bros.,Mongrel Media,Pris Audiovisuais,Sony Pictures Classics,Sony Pictures Classics,Sony Pictures Classics,Sony Pictures Classics,Sony Pictures Classics,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.","Crea SGR,El Deseo,Instituto de Crédito Oficial,Instituto de la Cinematografía y de las Artes Audiovisuales,Movistar Plus+,Pathé,Sony Pictures Classics,Washington Square Films",Drama,107
810,19. Never Let Go,2024,A family that has been haunted by an evil spirit for years. Their safety and their surroundings come into question when one of the children questions if the evil is real.,5.4,"$20,000,000 (estimated)","Halle Berry,Percy Daggs IV,Anthony B. Jenkins,William Catlett,Kathryn Kirkpatrick,Georges Gracieuse,Matthew Kevin Anderson,Cadence Compton,Christin Park,Stephanie Lavigne,Mila Morgan,Adrien Morot,Kathy Tse,Michael Fields,Brass",R,Alexandre Aja,"Lionsgate,Summit Entertainment,Corazón Films,BGFilm,BfParis,Encore Films,Golden Village Pictures,HKC Entertainment,Leonine Distribution,Metropolitan Filmexport,Notorious Pictures,Paris Filmes,Pioneer Films,Roadshow Films,Spentzos Films,Venus Films,Amazon Prime Video,Apple TV+,Leonine Distribution,Leonine Distribution,Lionsgate Home Entertainment,Lionsgate Home Entertainment,Noori Pictures,Noori Pictures,Peacock,Phars Film,Pris Audiovisuais,Starz,The Filmbridge,The Roku Channel,Top Film Distribution","Lionsgate,Media Capital Technologies,21 Laps Entertainment,HalleHolly,Canadian Film or Video Production Tax Credit,France Films Tv","Horror,Thriller",101
811,20. Bring Them Down,2024,"An Irish shepherding family thrust into battle on several fronts: internal strife, hostility within the family, rivalry with another farmer. Paternalism, heritage, and the generational trauma cycle through the cultural prism of Ireland. Michael, the last son of a shepherding family, lives with his ailing father, Ray. Burdened by a terrible secret, Michael has isolated himself from the world. When a conflict with rival farmer Gary and his son Jack escalates, Michael is drawn into a devastating chain of events, forcing him to confront the horrors of his past and leaving both families permanently altered.—MUBI",6.5,N/A,"Christopher Abbott,Barry Keoghan,Colm Meaney,Nora-Jane Noone,Paul Ready,Aaron Heffernan,Susan Lynch,Conor MacNeill,Adam Behan,Diarmuid de Faoite,Gail Fitzpatrick,Grace Daly,Eddie Drew,Danny Power",R,Chris Andrews,"MUBI,BuenCine Producciones,Maco,New Story,Amazon Prime Video,Apple TV+,Front Row Filmed Entertainment,MUBI,MUBI,MUBI,MUBI","MUBI,Tailored Films,Wild Swim Films,Frakas Productions,Voo & Be tv,Shelter Prod,Fís Éireann / Screen Ireland,Global Screen Fund,Coimisiún na Meán,Taxshelter. be,RTÉ","Drama,Thriller",106
812,21. Riff Raff,2024,"A former criminal's ordinary life is turned upside down when his old family shows up for a long-awaited reunion. One-time criminal Vince (Harris) turned his life around when he fell in love with Sandy (Union). Nearly 20 years later, the still-happy couple are looking forward to spending a quiet New Year's Eve in their country home with their good-natured son, DJ (Miles J. Harvey). Then Vince's other son, Rocco (Lewis Pullman), shows up unannounced with his pregnant girlfriend, Marina (Emanuela Postacchini), and Vince's first wife, Ruth (Coolidge), in tow. It is not a happy reunion. Ruth is rude, lewd, and randy, while Rocco - who never divested himself of the family business - is clearly hiding something sinister. Hot on Rocco's tail is Lefty (Bill Murray), an aging mafioso with a score to settle regarding his own son. When Lefty catches up with Vince's teeming clan, it seems likely that blood ties will yield blood spilled.—from Tiff (Canon y mus)",5.7,N/A,"Jennifer Coolidge,Ed Harris,Gabrielle Union,Miles J. Harvey,Emanuela Postacchini,Lewis Pullman,Bill Murray,Pete Davidson,Michael Angelo Covino,Julius Sampson,Scott Michael Campbell,Sage Spielman,Roger Guenveur Smith,Lucinda Carr,Brooke Dillman,P.J. Byrne,Eli Massillon,Angelic Zambrana,Chris Keller,Nathan Levy,Bob Leszczak",R,Dito Montiel,"Grindstone Entertainment Group,Roadside Attractions,Kino Swiat,Lusomundo,Paradiz,Signature Films,Signature Films,Signature Films,Signature Films,Splendid Film,Tanweer Alliances,Vagon Film,Amazon Prime Video,Apple TV+,Maestro Distribution,Movie Cloud,Phoenicia Pictures","Canopy Media Partners,Capstone Studios,FirstGen Content,Signature Films,Storyboard Media","Comedy,Crime",103
813,22. William Tell,2024,"The narrative unfolds in the 14th Century amidst the days of the Holy Roman Empire where Europe's nations fiercely vie for supremacy and the ambitious Austrians, desiring more land, encroach upon Switzerland, a serene and pastoral nation. In 14th Century Switzerland, a once peaceful hunter leads his people to rebellion after his family and country are threatened by a tyrannical Austrian King. The year is 1307 and the Holy Roman Empire is crumbling. As its grip on Europe loosens, new dynasties such as the Austrian Habsburg Family encroach on new lands, desperate for power. In Switzerland, the once peaceful country is overwhelmed and bows under the Austrian might as it advances and upends the quiet lives of the Swiss peasants.",5.7,N/A,"Claes Bang,Tobias Jowett,Connor Swindells,Ellie Bamber,Jonah Hauer-King,Solly McLeod,Emily Beecham,Rafe Spall,Amar Chadha-Patel,Golshifteh Farahani,Éanna Hardwicke,Sam Keeley,Billy Postlethwaite,Neva Leoni,Samuel Edward-Cook,Ben Kingsley,Jake Dunn,Jess Douglas-Welsh,David Moorst,Theo Hamm,Jonathan Pryce,Colin Bennett,Aron von Andrian,Diarmaid Murtagh,Paul Bullion,Angus Kennedy,Gabriele Greggio,Harry Ball,Christian Petaroscia,Nina Zem,Jolyon Coy,Dylan Devonald Smith,Charlotte Mills,Gianluca Magni,Yuri Ribeiro",R,Nick Hamm,"Dutch FilmWorks (DFW),Kinepolis Film Distribution (KFD),Samuel Goldwyn Films,ADS,ADS,Altitude Film Entertainment,Beta Fiction Spain,Beta Film,Blitz,CinemArt,Cinemart,Eagle Pictures,Lumix Media,Monolith Films,Pris Audiovisuais,Rialto Distribution,Rialto Distribution,SF Studios,SF Studios,SF Studios,SF Studios,SquareOne Entertainment,Swift Distribution,TFG,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,The Plot Pictures,Top Film Distribution,Top Film Distribution","Free Turn,Tempo Productions,Beta Cinema,Prime Focus Studios,Groenlandia,Cineroma SRL","Action,Biography,Drama,History,War",133
814,23. Nightbitch,2024,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn. A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog. Once, she was an up-and-coming New York City installation artist. Now, she is an exhausted, sleep-deprived stay-at-home mum struggling to juggle marriage and maternity. As the endless succession of busy mornings and hectic nights takes a toll on the overwhelmed mother, subtle changes to body and mind leave her guessing. Is chronic stress turning this mother into something else? After all, life can be a bitch. But motherhood is no better either.—Nick Riganas",5.5,N/A,"Amy Adams,Scoot McNairy,Arleigh Snowden,Emmett Snowden,Jessica Harper,Zoë Chao,Mary Holland,Archana Rajan,Nate Heller,Darius De La Cruz,Ella Thomas,Stacey Swift,Garrett C. Phillips,Adrienne Rose White,Michaela Baham,Kerry O'Malley,Roslyn Gentle,Michael Andrew Baker,Judith Moreland,Caden Green,Zarah Beverly,Ethan Clark,Preston Galli,Laura Meadows,Arthur R.H. Wasem Sr.",R,Marielle Heller,"Searchlight Pictures,Disney+,Hulu","Annapurna Pictures,Archer Gray,Bond Group Entertainment,Defiant By Nature,Searchlight Pictures","Comedy,Horror",99
815,24. Horizon: An American Saga - Chapter 2,2024,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.,7.2,N/A,"Todd Allen,Arthur Anderson,Austin Archer,Charles Baker,Stefania Barr,Jon Beavers,Ryan Begay,Michael Todd Behrens,Reed Birney,Liam Bradford,Dan Bringhurst,Sam Bullington,Aimee-Lynn Chadwick,Chris Conner,Kevin Costner,Alejandro Edda,Tom Everett,Lindsay Foster,Isabelle Fuhrman,James Gault,Russell C. Gibbs,Austin R. Grant,Gattlin Griffith,Phoebe Ho,Mike Houston,Joshua Howard,Ella Hunt,Jerry Irons,Roger Ivens,Dianne Garnett Killen,Michael Killen,Cici Lau,Jim Lau,Chad Lindberg,Ariel Llinas,Georgia MacPhail,Eb Madson,Kassandra Mahea,Ernest Marsh,Aidan McCann,Sienna Miller,Bryan Moore,Alex Nibley,Jackie Nico,David O'Hara,Will Patton,Tom Payne,Skyler Peters,Steve Peters,Briana Price,Michael Provost,Hallie Purser,Kathleen Quinlan,Giovanni Ribisi,Kenna Roubicek,Douglas Smith,Grayson Picasso Stone,Glynn Turman,Bernardo Velasco,Joseph Williams,Luke Wilson,Naomi Winders,Sam Worthington,Tisa Zito,Janet Gordon Palm,Bryn Kint,Cameron Wilkinson,Casey Wayne Wright",N/A,Kevin Costner,"Warner Bros.,TOBIS Film,Falcon Films,Madman Entertainment,Madman Films,Noori Pictures","New Line Cinema,Territory Pictures Entertainment,Warner Bros.","Drama,Western",190
816,1. Gladiator II,2024,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people. Rome, circa 209 A.D. Sixteen years after the demise of Emperor Marcus Aurelius and Maximus Decimus Meridius in Gladiator (2000), the Roman Empire is now ruled by the tyrannical Emperors Caracalla and Geta. As tensions mount, an enslaved Numidian leader arrives in the city as a gladiator, putting allegiances to the test. No one knows who he is, but with sinister schemes threatening the Republic, can this humble defender restore Rome to its former glory?—Nick Riganas",6.5,"$250,000,000 (estimated)","Paul Mescal,Denzel Washington,Pedro Pascal,Connie Nielsen,Joseph Quinn,Fred Hechinger,Lior Raz,Derek Jacobi,Peter Mensah,Matt Lucas,Alexander Karim,Yuval Gonen,Richard McCabe,Tim McInnerny,Alec Utgoff,Rory McCann,Yann Gael,Riana Duce,Alfie Tempest,Amira Ghazalla,Abdelmoula Ait Sidi Lhassan,Mouaiz El Outmany,Brahim Assagour,Alexander Simkin,Richard Katz,David Ganly,Anton Saliba,Amal Ayouch,Hadrian Howard,Chidi Ajufo,Lee Charles,Chris Hallaways,Chi Lewis-Parry,Ángel Gómez de la Torre,Ait ben Azzouz Brahim,Maxime Rauf Ruijselaar,Sana El Baghdady,Nadia El Masnaoui,Nisrine Machat,Maud Oulhen,Estelle Courret,Line Ancel,Sixtine Gignoux,Igor Badnjar,Romi Debart,Arnaud Préchac,Tom Moutchi,Dean Fagan,Spencer Treat Clark,Mikhail Basmadjian,May Calamawy,Paul Candelent,Jean Carbonaro,Matthew Charlery-Smith,Maxime Durand,Alex Gasperetti,Nahna James,Kurt Laferla,Christos Mairangas,Michael Otteson,Stathis Papadopoulos,Mike Parish,Clyde Vassallo,Sean Vassallo,Peter Winfield",R,Ridley Scott,"Constantin Film,Feelgood Entertainment,Finnkino,HKC Entertainment,NOS Audiovisuais,Paramount Pictures France,Paramount Pictures International,Paramount Pictures UK,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,Sony Pictures Releasing,The Filmbridge,United International Pictures (UIP),Universal Pictures International (UPI),Warner Bros. Pictures,MGM+,SF Film Finland","Paramount Pictures,Scott Free Productions,Red Wagon Films,Québec Production Services Tax Credit","Action,Adventure,Drama",148
